Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
1;-83,99725925879602;-83,99556684212666;43887;LF;1;0,0016924166693570442
2;-83,9796032588406;-83,97791484217123;43887;LF;1;0,0016884166693671432
3;-83,96195125888516;-83,96025884221581;43887;LF;1;0,0016924166693570442
4;-83,94429525892974;-83,94260684226037;43887;LF;1;0,0016884166693671432
5;-83,92664325897431;-83,92495084230495;43888;LF;1;0,0016924166693570442
6;-83,90898725901889;-83,90729884234952;43888;LF;1;0,0016884166693671432
7;-83,89133525906345;-83,8896428423941;43887;LF;1;0,0016924166693570442
8;-83,87367925910803;-83,87199084243866;43887;LF;1;0,0016884166693671432
9;-83,8560272591526;-83,85433484248324;43888;LF;1;0,0016924166693570442
10;-83,83837125919717;-83,83668284252781;43887;LF;1;0,0016884166693671432
11;-83,82071925924174;-83,81903084257237;43887;LF;1;0,0016884166693671432
12;-83,80306725928631;-83,80137484261695;43887;LF;1;0,0016924166693570442
13;-83,78541125933089;-83,78372284266152;43887;LF;1;0,0016884166693671432
14;-83,76775925937545;-83,7660668427061;43888;LF;1;0,0016924166693570442
15;-83,75010325942003;-83,74841484275066;43888;LF;1;0,0016884166693671432
16;-83,7324512594646;-83,73075884279524;43887;LF;1;0,0016924166693570442
17;-83,71479525950917;-83,7131068428398;43887;LF;1;0,0016884166693671432
18;-83,69714325955374;-83,69545084288438;43888;LF;1;0,0016924166693570442
19;-83,67948725959832;-83,67779884292895;43888;LF;1;0,0016884166693671432
20;-83,66183525964288;-83,66014284297353;43887;LF;1;0,0016924166693570442
21;-83,64417925968746;-83,6424908430181;43888;LF;1;0,0016884166693671432
22;-83,62652725973203;-83,62483484306267;43887;LF;1;0,0016924166693570442
23;-83,6088712597766;-83,60718284310724;43887;LF;1;0,0016884166693671432
24;-83,59121925982117;-83,58952684315182;43887;LF;1;0,0016924166693570442
25;-83,57356325986575;-83,57187484319638;43887;LF;1;0,0016884166693671432
26;-83,55591125991032;-83,55421884324096;43888;LF;1;0,0016924166693570442
27;-83,5382552599549;-83,53656684328553;43887;LF;1;0,0016884166693671432
28;-83,52060325999946;-83,5189148433301;43887;LF;1;0,0016884166693671432
29;-83,50295126004403;-83,50125884337467;43887;LF;1;0,0016924166693570442
30;-83,4852952600886;-83,48360684341924;43888;LF;1;0,0016884166693671432
31;-83,46764326013317;-83,46595084346382;43888;LF;1;0,0016924166693570442
32;-83,44998726017775;-83,44829884350838;43888;LF;1;0,0016884166693671432
33;-83,43233526022232;-83,43064284355296;43888;LF;1;0,0016924166693570442
34;-83,4146792602669;-83,41299084359753;43887;LF;1;0,0016884166693671432
35;-83,39702726031146;-83,3953348436421;43887;LF;1;0,0016924166693570442
36;-83,37937126035604;-83,37768284368667;43888;LF;1;0,0016884166693671432
37;-83,3617192604006;-83,36002684373125;43887;LF;1;0,0016924166693570442
38;-83,34406326044518;-83,34237484377581;43888;LF;1;0,0016884166693671432
39;-83,32641126048975;-83,32471884382039;43888;LF;1;0,0016924166693570442
40;-83,30875526053433;-83,30706684386496;43887;LF;1;0,0016884166693671432
41;-83,2911032605789;-83,28941084390954;43887;LF;1;0,0016924166693570442
42;-83,27344726062347;-83,2717588439541;43888;LF;1;0,0016884166693671432
43;-83,25579526066804;-83,25410284399868;43887;LF;1;0,0016924166693570442
44;-83,23813926071261;-83,23645084404325;43887;LF;1;0,0016884166693671432
45;-83,22048726075718;-83,21879884408781;43887;LF;1;0,0016884166693671432
46;-83,20283526080175;-83,20114284413239;43888;LF;1;0,0016924166693570442
47;-83,18517926084633;-83,18349084417696;43887;LF;1;0,0016884166693671432
48;-83,16752726089089;-83,16583484422154;43887;LF;1;0,0016924166693570442
49;-83,14987126093547;-83,1481828442661;43887;LF;1;0,0016884166693671432
50;-83,13221926098004;-83,13052684431068;43887;LF;1;0,0016924166693570442
51;-83,11456326102461;-83,11287484435525;43888;LF;1;0,0016884166693671432
52;-83,09691126106918;-83,09521884439982;43887;LF;1;0,0016924166693570442
53;-83,07925526111376;-83,07756684444439;43887;LF;1;0,0016884166693671432
54;-83,06160326115833;-83,05991084448897;43887;LF;1;0,0016924166693570442
55;-83,0439472612029;-83,04225884453354;43887;LF;1;0,0016884166693671432
56;-83,02629526124747;-83,02460284457811;43887;LF;1;0,0016924166693570442
57;-83,00863926129205;-83,00695084462268;43887;LF;1;0,0016884166693671432
58;-82,99098726133661;-82,98929484466726;43887;LF;1;0,0016924166693570442
59;-82,97333126138119;-82,97164284471182;43887;LF;1;0,0016884166693671432
60;-82,95567926142576;-82,9539868447564;43888;LF;1;0,0016924166693570442
61;-82,93802326147033;-82,93633484480097;43888;LF;1;0,0016884166693671432
62;-82,9203712615149;-82,91868284484553;43887;LF;1;0,0016884166693671432
63;-82,90271926155947;-82,90102684489011;43887;LF;1;0,0016924166693570442
64;-82,88506326160405;-82,88337484493468;43887;LF;1;0,0016884166693671432
65;-82,86741126164861;-82,86571884497926;43887;LF;1;0,0016924166693570442
66;-82,84975526169319;-82,84806684502382;43887;LF;1;0,0016884166693671432
67;-82,83210326173776;-82,8304108450684;43887;LF;1;0,0016924166693570442
68;-82,81444726178233;-82,81275884511297;43887;LF;1;0,0016884166693671432
69;-82,7967952618269;-82,79510284515754;43887;LF;1;0,0016924166693570442
70;-82,77913926187148;-82,77745084520211;43888;LF;1;0,0016884166693671432
71;-82,76148726191605;-82,75979484524669;43887;LF;1;0,0016924166693570442
72;-82,74383126196062;-82,74214284529126;43887;LF;1;0,0016884166693671432
73;-82,72617926200519;-82,72448684533583;43888;LF;1;0,0016924166693570442
74;-82,70852326204977;-82,7068348453804;43888;LF;1;0,0016884166693671432
75;-82,69087126209433;-82,68917884542498;43887;LF;1;0,0016924166693570442
76;-82,67321526213891;-82,67152684546954;43887;LF;1;0,0016884166693671432
77;-82,65556326218348;-82,65387084551412;43888;LF;1;0,0016924166693570442
78;-82,63790726222805;-82,63621884555869;43888;LF;1;0,0016884166693671432
79;-82,62025526227262;-82,61856684560325;43888;LF;1;0,0016884166693671432
80;-82,60260326231719;-82,60091084564783;43887;LF;1;0,0016924166693570442
81;-82,58494726236177;-82,5832588456924;43888;LF;1;0,0016884166693671432
82;-82,56729526240633;-82,56560284573698;43888;LF;1;0,0016924166693570442
83;-82,54963926245091;-82,54795084578154;43887;LF;1;0,0016884166693671432
84;-82,53198726249548;-82,53029484582612;43887;LF;1;0,0016924166693570442
85;-82,51433126254005;-82,51264284587069;43887;LF;1;0,0016884166693671432
86;-82,49667926258462;-82,49498684591526;43887;LF;1;0,0016924166693570442
87;-82,4790232626292;-82,47733484595983;43887;LF;1;0,0016884166693671432
88;-82,46137126267377;-82,45967884600441;43887;LF;1;0,0016924166693570442
89;-82,44371526271834;-82,44202684604898;43887;LF;1;0,0016884166693671432
90;-82,42606326276291;-82,42437084609355;43888;LF;1;0,0016924166693570442
91;-82,40840726280749;-82,40671884613812;43887;LF;1;0,0016884166693671432
92;-82,39075526285205;-82,3890628461827;43887;LF;1;0,0016924166693570442
93;-82,37309926289663;-82,37141084622726;43887;LF;1;0,0016884166693671432
94;-82,3554472629412;-82,35375484627184;43887;LF;1;0,0016924166693570442
95;-82,33779126298577;-82,33610284631641;43887;LF;1;0,0016884166693671432
96;-82,32013926303034;-82,31845084636097;43887;LF;1;0,0016884166693671432
97;-82,30248726307491;-82,30079484640555;43887;LF;1;0,0016924166693570442
98;-82,28483126311949;-82,28314284645012;43887;LF;1;0,0016884166693671432
99;-82,26717926316405;-82,2654868464947;43887;LF;1;0,0016924166693570442
100;-82,24952326320863;-82,24783484653926;43887;LF;1;0,0016884166693671432
101;-82,2318712632532;-82,23017884658384;43887;LF;1;0,0016924166693570442
102;-82,21421526329777;-82,2125268466284;43888;LF;1;0,0016884166693671432
103;-82,19656326334234;-82,19487084667298;43887;LF;1;0,0016924166693570442
