Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
84;-82,53208326249523;-82,53039484582587;43889;LF;1;0,0016884166693671432
85;-82,5144312625398;-82,51273884587044;43889;LF;1;0,0016924166693570442
86;-82,49677526258438;-82,49508684591501;43888;LF;1;0,0016884166693671432
87;-82,47912326262895;-82,47743084595959;43888;LF;1;0,0016924166693570442
88;-82,46146726267352;-82,45977884600416;43889;LF;1;0,0016884166693671432
89;-82,44381526271809;-82,44212284604873;43889;LF;1;0,0016924166693570442
90;-82,42615926276267;-82,4244708460933;43889;LF;1;0,0016884166693671432
91;-82,40850726280723;-82,40681484613788;43889;LF;1;0,0016924166693570442
92;-82,39085126285181;-82,38916284618244;43889;LF;1;0,0016884166693671432
93;-82,37319926289638;-82,37150684622702;43889;LF;1;0,0016924166693570442
94;-82,35554326294096;-82,35385484627159;43888;LF;1;0,0016884166693671432
95;-82,33789126298552;-82,33620284631616;43888;LF;1;0,0016884166693671432
96;-82,32023926303009;-82,31854684636073;43889;LF;1;0,0016924166693570442
97;-82,30258326307467;-82,3008948464053;43889;LF;1;0,0016884166693671432
98;-82,28493126311923;-82,28323884644988;43888;LF;1;0,0016924166693570442
99;-82,26727526316381;-82,26558684649444;43889;LF;1;0,0016884166693671432
100;-82,24962326320838;-82,24793084653902;43888;LF;1;0,0016924166693570442
101;-82,23196726325295;-82,23027884658359;43888;LF;1;0,0016884166693671432
102;-82,21431526329752;-82,21262284662816;43888;LF;1;0,0016924166693570442
103;-82,1966592633421;-82,19497084667273;43889;LF;1;0,0016884166693671432
104;-82,17900726338667;-82,17731484671731;43889;LF;1;0,0016924166693570442
105;-82,16135126343124;-82,15966284676188;43889;LF;1;0,0016884166693671432
106;-82,14369926347581;-82,14200684680645;43888;LF;1;0,0016924166693570442
107;-82,12604326352039;-82,12435484685102;43888;LF;1;0,0016884166693671432
108;-82,10839126356495;-82,1066988468956;43888;LF;1;0,0016924166693570442
109;-82,09073526360953;-82,08904684694016;43889;LF;1;0,0016884166693671432
110;-82,0730832636541;-82,07139084698474;43888;LF;1;0,0016924166693570442
111;-82,05542726369868;-82,05373884702931;43888;LF;1;0,0016884166693671432
112;-82,03777526374324;-82,03608284707389;43889;LF;1;0,0016924166693570442
113;-82,02011926378782;-82,01843084711845;43888;LF;1;0,0016884166693671432
114;-82,00246726383239;-82,00077484716303;43888;LF;1;0,0016924166693570442
115;-81,98481126387696;-81,9831228472076;43888;LF;1;0,0016884166693671432
116;-81,96715926392153;-81,96546684725217;43888;LF;1;0,0016924166693570442
117;-81,9495072639661;-81,94781484729674;43888;LF;1;0,0016924166693570442
118;-81,93185126401067;-81,93016284734131;43888;LF;1;0,0016884166693671432
119;-81,91419926405524;-81,91250684738588;43889;LF;1;0,0016924166693570442
