Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
1;-20,97652681475654;-20,974836398087177;00000;LF;1;0,0016904166693620937
2;-20,94478081483669;-20,94280439816805;-00001;LF;1;0,001976416668640013
3;-20,912696814917695;-20,911006398248333;00001;LF;1;0,0016904166693620937
4;-20,880950814997846;-20,878974398329206;-00001;LF;1;0,001976416668640013
5;-20,848867815078847;-20,847177398409485;00001;LF;1;0,0016904166693620937
6;-20,817121815159;-20,81514539849036;-00001;LF;1;0,001976416668640013
7;-20,785037815240003;-20,78334739857064;00001;LF;1;0,0016904166693620937
8;-20,753291815320154;-20,751315398651514;-00001;LF;1;0,001976416668640013
9;-20,721207815401158;-20,719517398731796;00001;LF;1;0,0016904166693620937
10;-20,689462815481306;-20,687486398812666;-00001;LF;1;0,001976416668640013
11;-20,65737881556231;-20,65568839889295;00001;LF;1;0,0016904166693620937
12;-20,62563281564246;-20,62365639897382;-00001;LF;1;0,001976416668640013
13;-20,593548815723466;-20,591858399054104;00000;LF;1;0,0016904166693620937
14;-20,561751815803746;-20,560061399134383;00000;LF;1;0,0016904166693620937
15;-20,530005815883897;-20,528029399215256;-00001;LF;1;0,001976416668640013
16;-20,4979218159649;-20,49623139929554;00001;LF;1;0,0016904166693620937
17;-20,46617581604505;-20,46419939937641;-00001;LF;1;0,001976416668640013
18;-20,434091816126056;-20,432401399456694;00001;LF;1;0,0016904166693620937
19;-20,402346816206204;-20,400370399537564;-00001;LF;1;0,001976416668640013
20;-20,37026281628721;-20,368572399617847;00001;LF;1;0,0016904166693620937
21;-20,33851681636736;-20,33654039969872;-00001;LF;1;0,001976416668640013
22;-20,306432816448364;-20,304742399779002;00001;LF;1;0,0016904166693620937
23;-20,274687816528512;-20,272711399859872;-00001;LF;1;0,001976416668640013
24;-20,242603816609517;-20,240913399940155;00000;LF;1;0,0016904166693620937
25;-20,210857816689668;-20,208881400021028;-00001;LF;1;0,001976416668640013
26;-20,178773816770672;-20,17708340010131;00001;LF;1;0,0016904166693620937
27;-20,147027816850823;-20,145051400182183;-00001;LF;1;0,001976416668640013
28;-20,114944816931825;-20,113254400262463;00001;LF;1;0,0016904166693620937
29;-20,083198817011976;-20,081222400343336;-00001;LF;1;0,001976416668640013
30;-20,05111481709298;-20,049424400423618;00001;LF;1;0,0016904166693620937
31;-20,01936881717313;-20,01739240050449;-00001;LF;1;0,001976416668640013
32;-19,987285817254133;-19,98559540058477;00001;LF;1;0,0016904166693620937
33;-19,955539817334284;-19,953563400665644;-00001;LF;1;0,001976416668640013
34;-19,923455817415288;-19,921765400745926;00000;LF;1;0,0016904166693620937
35;-19,89170981749544;-19,8897334008268;-00001;LF;1;0,001976416668640013
36;-19,859625817576443;-19,85793540090708;00001;LF;1;0,0016904166693620937
37;-19,82788081765659;-19,82590440098795;-00001;LF;1;0,001976416668640013
38;-19,795796817737596;-19,794106401068234;00001;LF;1;0,0016904166693620937
39;-19,764050817817747;-19,762074401149107;-00001;LF;1;0,001976416668640013
40;-19,73196681789875;-19,73027640122939;00001;LF;1;0,0016904166693620937
41;-19,700220817978902;-19,698244401310262;-00001;LF;1;0,001976416668640013
42;-19,668137818059904;-19,666447401390542;00001;LF;1;0,0016904166693620937
43;-19,636391818140055;-19,634415401471415;-00001;LF;1;0,001976416668640013
44;-19,60430781822106;-19,602617401551697;00000;LF;1;0,0016904166693620937
45;-19,57250981830134;-19,57081940163198;00000;LF;1;0,0016904166693620937
46;-19,54076481838149;-19,53878840171285;-00001;LF;1;0,001976416668640013
47;-19,508680818462494;-19,506990401793132;00001;LF;1;0,0016904166693620937
48;-19,476934818542645;-19,474958401874005;-00001;LF;1;0,001976416668640013
49;-19,44485081862365;-19,443160401954287;00000;LF;1;0,0016904166693620937
50;-19,4131048187038;-19,41112840203516;-00001;LF;1;0,001976416668640013
51;-19,381021818784802;-19,37933140211544;00000;LF;1;0,0016904166693620937
52;-19,349275818864953;-19,347299402196313;-00001;LF;1;0,001976416668640013
53;-19,317191818945957;-19,315501402276595;00001;LF;1;0,0016904166693620937
54;-19,28544581902611;-19,28346940235747;-00001;LF;1;0,001976416668640013
55;-19,25336281910711;-19,251672402437748;00000;LF;1;0,0016904166693620937
56;-19,221564819187392;-19,21987440251803;00000;LF;1;0,0016904166693620937
57;-19,189818819267543;-19,187842402598903;-00001;LF;1;0,001976416668640013
58;-19,157734819348548;-19,156044402679186;00000;LF;1;0,0016904166693620937
59;-19,1259888194287;-19,12401240276006;-00001;LF;1;0,001976416668640013
60;-19,0939058195097;-19,09221540284034;00000;LF;1;0,0016904166693620937
61;-19,06215981958985;-19,06018340292121;-00001;LF;1;0,001976416668640013
62;-19,030075819670856;-19,028385403001494;00001;LF;1;0,0016904166693620937
63;-18,998329819751007;-18,996353403082367;-00001;LF;1;0,001976416668640013
64;-18,96624681983201;-18,964556403162646;00001;LF;1;0,0016904166693620937
65;-18,93450081991216;-18,93252440324352;-00001;LF;1;0,001976416668640013
66;-18,902416819993164;-18,9007264033238;00001;LF;1;0,0016904166693620937
67;-18,870670820073315;-18,868694403404675;-00001;LF;1;0,001976416668640013
68;-18,83858682015432;-18,836896403484957;00001;LF;1;0,0016904166693620937
69;-18,806841820234467;-18,804865403565827;-00001;LF;1;0,001976416668640013
70;-18,77475782031547;-18,77306740364611;00000;LF;1;0,0016904166693620937
71;-18,742959820395754;-18,741269403726392;00000;LF;1;0,0016904166693620937
72;-18,711213820475905;-18,709237403807265;-00001;LF;1;0,001976416668640013
73;-18,679130820556907;-18,677440403887545;00001;LF;1;0,0016904166693620937
74;-18,647384820637058;-18,645408403968418;-00001;LF;1;0,001976416668640013
75;-18,615300820718062;-18,6136104040487;00000;LF;1;0,0016904166693620937
76;-18,583554820798213;-18,581578404129573;-00001;LF;1;0,001976416668640013
77;-18,551470820879217;-18,549780404209855;00001;LF;1;0,0016904166693620937
78;-18,519725820959366;-18,517749404290726;-00001;LF;1;0,001976416668640013
79;-18,48764182104037;-18,485951404371008;00001;LF;1;0,0016904166693620937
80;-18,45589582112052;-18,45391940445188;-00001;LF;1;0,001976416668640013
81;-18,423811821201525;-18,422121404532163;00000;LF;1;0,0016904166693620937
82;-18,392065821281676;-18,390090404613034;-00001;LF;1;0,001975416668642538
83;-18,359982821362678;-18,358292404693316;00001;LF;1;0,0016904166693620937
84;-18,32823682144283;-18,32626040477419;-00001;LF;1;0,001976416668640013
85;-18,296152821523833;-18,29446240485447;00000;LF;1;0,0016904166693620937
86;-18,264354821604115;-18,262664404934753;00000;LF;1;0,0016904166693620937
87;-18,232609821684264;-18,230633405015624;-00001;LF;1;0,001976416668640013
88;-18,200525821765268;-18,198835405095906;00001;LF;1;0,0016904166693620937
89;-18,16877982184542;-18,16680340517678;-00001;LF;1;0,001976416668640013
90;-18,136695821926423;-18,13500540525706;00001;LF;1;0,0016904166693620937
91;-18,104949822006574;-18,102973405337934;-00001;LF;1;0,001976416668640013
92;-18,072866822087576;-18,071176405418214;00001;LF;1;0,0016904166693620937
93;-18,041120822167727;-18,039144405499087;-00001;LF;1;0,001976416668640013
94;-18,00903682224873;-18,00734640557937;00001;LF;1;0,0016904166693620937
95;-17,977290822328882;-17,975314405660242;-00001;LF;1;0,001976416668640013
96;-17,945207822409884;-17,943517405740522;00001;LF;1;0,0016904166693620937
97;-17,913461822490035;-17,911485405821395;-00001;LF;1;0,001976416668640013
98;-17,88137782257104;-17,879687405901677;00001;LF;1;0,0016904166693620937
99;-17,84963182265119;-17,84765540598255;-00001;LF;1;0,001976416668640013
100;-17,817547822732195;-17,815857406062833;00001;LF;1;0,0016904166693620937
101;-17,785802822812343;-17,783826406143703;-00001;LF;1;0,001976416668640013
102;-17,753718822893347;-17,752028406223985;00001;LF;1;0,0016904166693620937
103;-17,7219728229735;-17,71999640630486;-00001;LF;1;0,001976416668640013
104;-17,689888823054503;-17,68819840638514;00001;LF;1;0,0016904166693620937
105;-17,65814382313465;-17,65616740646601;-00001;LF;1;0,001976416668640013
106;-17,626059823215655;-17,624369406546293;00001;LF;1;0,0016904166693620937
107;-17,594313823295806;-17,592337406627166;-00001;LF;1;0,001976416668640013
108;-17,56222982337681;-17,56053940670745;00001;LF;1;0,0016904166693620937
109;-17,53048382345696;-17,52850740678832;-00001;LF;1;0,001976416668640013
110;-17,498400823537963;-17,4967104068686;00001;LF;1;0,0016904166693620937
111;-17,466654823618114;-17,464678406949474;-00001;LF;1;0,001976416668640013
112;-17,43457082369912;-17,432880407029756;00001;LF;1;0,0016904166693620937
113;-17,40282482377927;-17,40084840711063;-00001;LF;1;0,001976416668640013
114;-17,37074182386027;-17,36905140719091;00001;LF;1;0,0016904166693620937
115;-17,338995823940422;-17,337019407271782;-00001;LF;1;0,001976416668640013
116;-17,306911824021427;-17,305221407352064;00001;LF;1;0,0016904166693620937
117;-17,275165824101578;-17,273189407432938;-00001;LF;1;0,001976416668640013
118;-17,243081824182582;-17,24139140751322;00001;LF;1;0,0016904166693620937
119;-17,21133682426273;-17,20936040759409;-00001;LF;1;0,001976416668640013
120;-17,179252824343735;-17,177562407674372;00001;LF;1;0,0016904166693620937
