Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
1;-20,969944814773157;-20,968254398103795;00001;LF;1;0,0016904166693620937
2;-20,93819881485331;-20,93622239818467;-00001;LF;1;0,001976416668640013
3;-20,90611581493431;-20,904425398264948;00001;LF;1;0,0016904166693620937
4;-20,87436981501446;-20,87239339834582;-00001;LF;1;0,001976416668640013
5;-20,842285815095465;-20,840595398426103;00001;LF;1;0,0016904166693620937
6;-20,810539815175616;-20,808563398506976;-00001;LF;1;0,001976416668640013
7;-20,778456815256618;-20,776766398587256;00001;LF;1;0,0016904166693620937
8;-20,74671081533677;-20,74473439866813;-00001;LF;1;0,001976416668640013
9;-20,714626815417773;-20,71293639874841;00001;LF;1;0,0016904166693620937
10;-20,682880815497924;-20,680904398829284;-00001;LF;1;0,001976416668640013
11;-20,65079681557893;-20,649106398909566;00001;LF;1;0,0016904166693620937
12;-20,619051815659077;-20,617075398990437;-00001;LF;1;0,001976416668640013
13;-20,58696781574008;-20,58527739907072;00001;LF;1;0,0016904166693620937
14;-20,555221815820232;-20,553245399151592;-00001;LF;1;0,001976416668640013
15;-20,523137815901237;-20,521447399231874;00001;LF;1;0,0016904166693620937
16;-20,491392815981385;-20,489416399312745;-00001;LF;1;0,001976416668640013
17;-20,45930881606239;-20,457618399393027;00001;LF;1;0,0016904166693620937
18;-20,42756281614254;-20,4255863994739;-00001;LF;1;0,001976416668640013
19;-20,395478816223545;-20,393788399554182;00001;LF;1;0,0016904166693620937
20;-20,363733816303693;-20,361757399635053;-00001;LF;1;0,001976416668640013
21;-20,331649816384697;-20,329959399715335;00001;LF;1;0,0016904166693620937
22;-20,299903816464848;-20,297927399796208;-00001;LF;1;0,001976416668640013
23;-20,267819816545853;-20,26612939987649;00001;LF;1;0,0016904166693620937
24;-20,236073816626003;-20,234097399957363;-00001;LF;1;0,001976416668640013
25;-20,203990816707005;-20,202300400037643;00001;LF;1;0,0016904166693620937
26;-20,172244816787156;-20,170268400118516;-00001;LF;1;0,001976416668640013
27;-20,14016081686816;-20,1384704001988;00001;LF;1;0,0016904166693620937
28;-20,10841481694831;-20,10643840027967;-00001;LF;1;0,001976416668640013
29;-20,076331817029313;-20,07464140035995;00001;LF;1;0,0016904166693620937
30;-20,044585817109464;-20,042609400440824;-00001;LF;1;0,001976416668640013
31;-20,01250181719047;-20,010811400521106;00001;LF;1;0,0016904166693620937
32;-19,98075581727062;-19,97877940060198;-00001;LF;1;0,001976416668640013
33;-19,948671817351624;-19,94698140068226;00001;LF;1;0,0016904166693620937
34;-19,916926817431772;-19,914950400763132;-00001;LF;1;0,001976416668640013
35;-19,884842817512776;-19,883152400843414;00001;LF;1;0,0016904166693620937
36;-19,853096817592927;-19,851120400924287;-00001;LF;1;0,001976416668640013
37;-19,82101281767393;-19,81932240100457;00001;LF;1;0,0016904166693620937
38;-19,78926781775408;-19,78729140108544;-00001;LF;1;0,001976416668640013
39;-19,757183817835084;-19,755493401165722;00001;LF;1;0,0016904166693620937
40;-19,725437817915235;-19,723461401246595;-00001;LF;1;0,001976416668640013
41;-19,69335381799624;-19,691663401326878;00001;LF;1;0,0016904166693620937
42;-19,66160781807639;-19,65963140140775;-00001;LF;1;0,001976416668640013
43;-19,629524818157392;-19,62783440148803;00001;LF;1;0,0016904166693620937
44;-19,597778818237543;-19,595802401568903;-00001;LF;1;0,001976416668640013
45;-19,565694818318548;-19,564004401649186;00001;LF;1;0,0016904166693620937
46;-19,5339488183987;-19,53197240173006;-00001;LF;1;0,001976416668640013
47;-19,5018658184797;-19,50017540181034;00001;LF;1;0,0016904166693620937
48;-19,47011981855985;-19,46814340189121;-00001;LF;1;0,001976416668640013
49;-19,438035818640856;-19,436345401971494;00001;LF;1;0,0016904166693620937
50;-19,406289818721007;-19,404313402052367;-00001;LF;1;0,001976416668640013
51;-19,37420581880201;-19,37251540213265;00001;LF;1;0,0016904166693620937
52;-19,34246081888216;-19,34048440221352;-00001;LF;1;0,001976416668640013
53;-19,310376818963164;-19,3086864022938;00001;LF;1;0,0016904166693620937
54;-19,278630819043315;-19,276654402374675;-00001;LF;1;0,001976416668640013
55;-19,24654681912432;-19,244856402454957;00001;LF;1;0,0016904166693620937
56;-19,214801819204467;-19,212825402535827;-00001;LF;1;0,001976416668640013
57;-19,18271781928547;-19,18102740261611;00001;LF;1;0,0016904166693620937
58;-19,150971819365623;-19,148995402696983;-00001;LF;1;0,001976416668640013
59;-19,118887819446627;-19,117197402777265;00001;LF;1;0,0016904166693620937
