Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
84;-18,34624982139735;-18,34427340472871;-00001;LF;1;0,001976416668640013
85;-18,314165821478355;-18,312475404808993;00001;LF;1;0,0016904166693620937
86;-18,282419821558506;-18,280443404889866;-00001;LF;1;0,001976416668640013
87;-18,25033582163951;-18,248645404970148;00000;LF;1;0,0016904166693620937
88;-18,21858982171966;-18,21661440505102;-00001;LF;1;0,001975416668642538
89;-18,186506821800663;-18,1848164051313;00000;LF;1;0,0016904166693620937
90;-18,154760821880814;-18,152784405212174;-00001;LF;1;0,001976416668640013
91;-18,122676821961818;-18,120986405292456;00001;LF;1;0,0016904166693620937
92;-18,09093082204197;-18,08895440537333;-00001;LF;1;0,001976416668640013
93;-18,05884782212297;-18,05715740545361;00001;LF;1;0,0016904166693620937
94;-18,02710182220312;-18,02512540553448;-00001;LF;1;0,001976416668640013
95;-17,995017822284126;-17,993327405614764;00001;LF;1;0,0016904166693620937
96;-17,963271822364277;-17,961295405695637;-00001;LF;1;0,001976416668640013
97;-17,93118882244528;-17,929498405775917;00001;LF;1;0,0016904166693620937
98;-17,89944282252543;-17,89746640585679;-00001;LF;1;0,001976416668640013
99;-17,867358822606434;-17,865668405937072;00001;LF;1;0,0016904166693620937
100;-17,835612822686585;-17,833636406017945;-00001;LF;1;0,001976416668640013
101;-17,80352882276759;-17,801838406098227;00001;LF;1;0,0016904166693620937
102;-17,771783822847738;-17,769807406179098;-00001;LF;1;0,001976416668640013
103;-17,739699822928742;-17,73800940625938;00001;LF;1;0,0016904166693620937
104;-17,707953823008893;-17,705977406340253;-00001;LF;1;0,001976416668640013
105;-17,675869823089897;-17,674179406420535;00001;LF;1;0,0016904166693620937
106;-17,644124823170046;-17,642148406501406;-00001;LF;1;0,001976416668640013
107;-17,61204082325105;-17,610350406581688;00001;LF;1;0,0016904166693620937
108;-17,5802948233312;-17,57831840666256;-00001;LF;1;0,001976416668640013
109;-17,548210823412205;-17,546520406742843;00000;LF;1;0,0016904166693620937
110;-17,516413823492485;-17,514723406823123;00000;LF;1;0,0016904166693620937
111;-17,484667823572636;-17,482691406903996;-00001;LF;1;0,001976416668640013
112;-17,45258382365364;-17,450893406984278;00001;LF;1;0,0016904166693620937
113;-17,42083782373379;-17,41886140706515;-00001;LF;1;0,001976416668640013
114;-17,388753823814795;-17,387063407145433;00000;LF;1;0,0016904166693620937
115;-17,357008823894944;-17,355032407226304;-00001;LF;1;0,001976416668640013
116;-17,324924823975948;-17,323234407306586;00001;LF;1;0,0016904166693620937
117;-17,2931788240561;-17,29120240738746;-00001;LF;1;0,001976416668640013
118;-17,261094824137103;-17,25940440746774;00000;LF;1;0,0016904166693620937
119;-17,229349824217252;-17,227373407548612;-00001;LF;1;0,001976416668640013
120;-17,197265824298256;-17,195575407628894;00000;LF;1;0,0016904166693620937
121;-17,16546782437854;-17,163777407709176;00000;LF;1;0,0016904166693620937
122;-17,13372182445869;-17,13174540779005;-00001;LF;1;0,001976416668640013
123;-17,101637824539694;-17,09994740787033;00001;LF;1;0,0016904166693620937
124;-17,069892824619842;-17,067916407951202;-00001;LF;1;0,001976416668640013
125;-17,037808824700846;-17,036118408031484;00000;LF;1;0,0016904166693620937
126;-17,006062824780997;-17,004086408112357;-00001;LF;1;0,001976416668640013
127;-16,973978824862;-16,97228840819264;00000;LF;1;0,0016904166693620937
128;-16,94223382494215;-16,94025740827351;-00001;LF;1;0,001976416668640013
129;-16,910149825023154;-16,908459408353792;00000;LF;1;0,0016904166693620937
130;-16,878351825103437;-16,876661408434074;00000;LF;1;0,0016904166693620937
131;-16,846605825183588;-16,844629408514947;-00001;LF;1;0,001976416668640013
132;-16,81452282526459;-16,812832408595227;00001;LF;1;0,0016904166693620937
133;-16,78277682534474;-16,7808004086761;-00001;LF;1;0,001976416668640013
134;-16,750692825425745;-16,749002408756382;00001;LF;1;0,0016904166693620937
135;-16,718894825506027;-16,717204408836665;00000;LF;1;0,0016904166693620937
136;-16,68709682558631;-16,685406408916947;00001;LF;1;0,0016904166693620937
